fixation_start_time,fixation_end_time,duration_seconds,center_x,center_y,aoi
1780031147.1029944,1780031147.5664608,0.4634664058685303,1003,374,CENTER_ROAD
1780031147.736825,1780031148.0427594,0.30593442916870117,1238,301,RIGHT
1780031148.253214,1780031149.3387766,1.0855627059936523,1471,91,RIGHT
1780031149.8131042,1780031150.1097074,0.2966032028198242,700,371,CENTER_ROAD
1780031150.2878397,1780031150.8026023,0.5147626399993896,437,542,LEFT
1780031150.8026023,1780031151.181885,0.37928271293640137,400,676,LEFT
1780031151.181885,1780031152.3902524,1.2083673477172852,395,827,LEFT
1780031152.3902524,1780031152.650593,0.26034069061279297,535,815,CENTER_DASHBOARD
1780031152.7769785,1780031153.248938,0.47195959091186523,769,629,CENTER_DASHBOARD
1780031153.248938,1780031153.7113411,0.4624030590057373,737,526,CENTER_DASHBOARD
1780031153.7113411,1780031154.8654962,1.1541550159454346,871,514,CENTER_DASHBOARD
1780031154.8654962,1780031156.7588918,1.8933956623077393,854,670,CENTER_DASHBOARD
1780031157.158564,1780031157.5797439,0.42117977142333984,947,383,CENTER_ROAD
1780031157.5797439,1780031158.1720445,0.5923006534576416,1008,271,CENTER_ROAD
1780031158.1720445,1780031158.498549,0.3265044689178467,1042,182,RIGHT
1780031158.498549,1780031159.722175,1.223625898361206,936,188,CENTER_ROAD
1780031160.123224,1780031161.1547868,1.0315628051757812,501,279,LEFT
1780031161.1547868,1780031161.700931,0.5461442470550537,632,244,CENTER_ROAD
1780031161.700931,1780031162.3817658,0.6808347702026367,710,333,CENTER_ROAD
1780031162.3817658,1780031162.6765463,0.2947804927825928,695,476,CENTER_DASHBOARD
1780031162.6765463,1780031163.77655,1.100003719329834,711,605,CENTER_DASHBOARD
1780031163.77655,1780031164.1457272,0.36917710304260254,911,535,CENTER_DASHBOARD
1780031164.1457272,1780031164.9264839,0.7807567119598389,989,539,CENTER_DASHBOARD
1780031164.9264839,1780031165.808859,0.8823752403259277,1037,639,RIGHT
1780031165.808859,1780031166.8744476,1.0655884742736816,922,564,CENTER_DASHBOARD
1780031166.969594,1780031167.3064923,0.3368983268737793,592,614,CENTER_DASHBOARD
1780031167.3064923,1780031167.8007479,0.49425554275512695,459,648,LEFT
1780031167.8007479,1780031168.848195,1.0474472045898438,288,687,LEFT
1780031168.848195,1780031169.699751,0.8515558242797852,165,701,LEFT
