aoi,fixation_count,total_fixation_duration,mean_fixation_duration,time_to_first_fixation
CENTER_ROAD,7,4.224154949188232,0.6034507070268903,0.4441099166870117
RIGHT,4,2.600376844406128,0.650094211101532,1.0779404640197754
LEFT,7,5.527234077453613,0.7896048682076591,3.628955125808716
CENTER_DASHBOARD,11,8.189458847045898,0.7444962588223544,5.731367826461792
