aoi,start_time,end_time,duration_seconds
CENTER_ROAD,1780031147.1029732,1780031147.736164,0.6331908702850342
RIGHT,1780031147.736164,1780031149.7388022,2.002638101577759
CENTER_ROAD,1780031149.7388022,1780031150.5922146,0.853412389755249
LEFT,1780031150.5922146,1780031152.8391116,2.246896982192993
CENTER_DASHBOARD,1780031152.8391116,1780031157.4320543,4.592942714691162
CENTER_ROAD,1780031157.4320543,1780031158.3306575,0.8986032009124756
RIGHT,1780031158.3306575,1780031158.6767476,0.34609007835388184
CENTER_ROAD,1780031158.6767476,1780031160.5758622,1.8991146087646484
LEFT,1780031160.5758622,1780031161.3132641,0.7374019622802734
CENTER_ROAD,1780031161.3132641,1780031162.633682,1.320417881011963
CENTER_DASHBOARD,1780031162.633682,1780031165.6083455,2.974663496017456
RIGHT,1780031165.6083455,1780031165.905885,0.29753947257995605
CENTER_DASHBOARD,1780031165.905885,1780031167.652233,1.7463479042053223
LEFT,1780031167.652233,1780031171.2619638,3.6097309589385986
